Census Tract ,18_25_population,18_25_no_hs,25_over_population,25_over_less_than_9_grade,25_over_9_12_grade_no_diploma,25_plus_pov_rate
"Census Tract 101, Cook County, Illinois",314.00,16.90%,"2,949",1.80%,2.60%,63.10%
"Census Tract 102.01, Cook County, Illinois",800.00,21.40%,"4,563",11.40%,8.50%,40.00%
"Census Tract 102.02, Cook County, Illinois",241.00,19.90%,"1,781",8.10%,9.50%,26.50%
"Census Tract 103, Cook County, Illinois",478.00,38.30%,"4,740",12.30%,10.50%,35.00%
"Census Tract 104, Cook County, Illinois",1849.00,0.00%,"2,431",2.60%,0.60%,0.00%
"Census Tract 105.01, Cook County, Illinois",456.00,0.00%,"2,919",0.60%,6.90%,26.00%
"Census Tract 105.02, Cook County, Illinois",1167.00,17.10%,"2,138",16.30%,4.30%,84.10%
"Census Tract 105.03, Cook County, Illinois",685.00,0.00%,"1,454",13.60%,11.00%,51.10%
"Census Tract 106, Cook County, Illinois",624.00,21.50%,"4,822",7.70%,4.50%,15.80%
"Census Tract 107.01, Cook County, Illinois",209.00,60.30%,"2,691",15.20%,4.00%,26.40%
"Census Tract 107.02, Cook County, Illinois",332.00,27.70%,"3,456",15.80%,7.60%,43.00%
"Census Tract 201, Cook County, Illinois",314.00,10.50%,"2,627",8.00%,7.80%,16.50%
"Census Tract 202, Cook County, Illinois",354.00,5.60%,"4,166",6.60%,5.80%,14.30%
"Census Tract 203.01, Cook County, Illinois",326.00,9.20%,"3,470",3.90%,5.30%,17.80%
"Census Tract 203.02, Cook County, Illinois",437.00,35.70%,"3,339",7.70%,7.10%,23.10%
"Census Tract 204, Cook County, Illinois",351.00,21.10%,"2,907",5.10%,4.60%,2.10%
"Census Tract 205, Cook County, Illinois",534.00,21.70%,"4,032",17.40%,8.80%,31.40%
"Census Tract 206.01, Cook County, Illinois",467.00,14.10%,"4,145",12.40%,10.20%,29.40%
"Census Tract 206.02, Cook County, Illinois",405.00,9.40%,"2,612",12.90%,2.90%,38.60%
