census_tract,total,male,male_less than high school diploma,male_high_school,male_some_college,male_bachelor_or_more,female,female_less than high school diploma,female_high_school,female_some_college,female_bachelor_or_more
"Census Tract 101, Cook County, Illinois","1,108",465,4,200,245,16,643,19,180,396,48
"Census Tract 102.01, Cook County, Illinois","2,055",930,98,410,273,149,"1,125",301,298,320,206
"Census Tract 102.02, Cook County, Illinois",617,262,38,69,122,33,355,91,127,60,77
"Census Tract 103, Cook County, Illinois","1,308",688,256,171,138,123,620,174,67,206,173
"Census Tract 104, Cook County, Illinois",385,91,14,0,23,54,294,37,155,21,81
"Census Tract 105.01, Cook County, Illinois",759,401,116,62,124,99,358,36,43,175,104
"Census Tract 105.02, Cook County, Illinois",444,230,20,8,114,88,214,20,28,47,119
"Census Tract 105.03, Cook County, Illinois",192,126,0,49,30,47,66,29,8,0,29
"Census Tract 106, Cook County, Illinois","1,409",622,95,257,193,77,787,62,284,172,269
"Census Tract 107.01, Cook County, Illinois",442,149,19,66,21,43,293,22,60,94,117
"Census Tract 107.02, Cook County, Illinois",744,247,12,122,19,94,497,39,105,168,185
"Census Tract 201, Cook County, Illinois",570,260,9,48,85,118,310,52,35,127,96
"Census Tract 202, Cook County, Illinois",215,138,0,63,0,75,77,15,51,11,0
"Census Tract 203.01, Cook County, Illinois",201,115,0,0,87,28,86,0,10,76,0
"Census Tract 203.02, Cook County, Illinois",288,118,15,31,14,58,170,39,38,82,11
"Census Tract 204, Cook County, Illinois",539,291,17,31,133,110,248,7,61,86,94
"Census Tract 205, Cook County, Illinois",706,355,25,278,52,0,351,45,141,135,30
"Census Tract 206.01, Cook County, Illinois",230,140,0,103,7,30,90,0,26,48,16
"Census Tract 206.02, Cook County, Illinois",199,103,48,0,10,45,96,0,0,17,79
"Census Tract 207.01, Cook County, Illinois",60,55,0,0,44,11,5,0,5,0,0
"Census Tract 207.02, Cook County, Illinois",200,143,46,15,45,37,57,45,0,4,8
"Census Tract 208.01, Cook County, Illinois",119,29,0,8,0,21,90,26,5,9,50
"Census Tract 208.02, Cook County, Illinois",441,151,0,67,41,43,290,0,89,89,112
"Census Tract 209.01, Cook County, Illinois",519,268,38,19,124,87,251,45,34,83,89
"Census Tract 209.02, Cook County, Illinois",501,156,10,39,86,21,345,0,13,92,240
"Census Tract 301.01, Cook County, Illinois",687,275,80,30,60,105,412,82,120,109,101
"Census Tract 301.02, Cook County, Illinois",507,135,9,19,39,68,372,31,132,115,94
"Census Tract 301.03, Cook County, Illinois",324,144,0,47,37,60,180,0,45,11,124
"Census Tract 301.04, Cook County, Illinois",369,234,40,0,183,11,135,0,29,79,27
"Census Tract 302, Cook County, Illinois",335,150,35,56,59,0,185,20,49,37,79
"Census Tract 303, Cook County, Illinois",225,170,51,34,67,18,55,0,0,30,25
"Census Tract 304, Cook County, Illinois",219,76,14,0,0,62,143,13,67,35,28
"Census Tract 305, Cook County, Illinois",337,178,9,3,22,144,159,19,44,60,36
"Census Tract 306.01, Cook County, Illinois",597,446,24,159,216,47,151,74,37,40,0
"Census Tract 306.03, Cook County, Illinois",469,278,0,30,127,121,191,7,82,85,17
"Census Tract 306.04, Cook County, Illinois",617,388,10,38,152,188,229,8,99,101,21
"Census Tract 307.01, Cook County, Illinois",295,171,37,55,49,30,124,14,58,45,7
"Census Tract 307.02, Cook County, Illinois",101,52,0,0,14,38,49,26,0,15,8
"Census Tract 307.03, Cook County, Illinois",350,173,17,37,84,35,177,5,0,68,104
"Census Tract 307.06, Cook County, Illinois",459,191,66,44,63,18,268,34,37,181,16
"Census Tract 308, Cook County, Illinois",116,45,13,16,13,3,71,44,6,7,14
"Census Tract 309, Cook County, Illinois",239,123,27,0,12,84,116,0,0,97,19
"Census Tract 310, Cook County, Illinois",142,84,11,0,48,25,58,4,0,14,40
"Census Tract 311, Cook County, Illinois",241,174,18,67,57,32,67,11,0,0,56
"Census Tract 312, Cook County, Illinois","1,279",780,192,257,160,171,499,155,99,200,45
"Census Tract 313, Cook County, Illinois","1,473",824,87,268,265,204,649,235,112,187,115
