,total,male,male_less than high school diploma,male_high_school,male_some_college,male_bachelor_or_more,female,female_less than high school diploma,female_high_school,female_some_college,female_bachelor_or_more
"Census Tract 101, Cook County, Illinois","1,467",637,3,112,178,344,830,28,54,145,603
"Census Tract 102.01, Cook County, Illinois","1,485",952,14,119,189,630,533,15,0,188,330
"Census Tract 102.02, Cook County, Illinois",642,320,26,39,111,144,322,39,74,53,156
"Census Tract 103, Cook County, Illinois","2,295","1,147",112,184,299,552,"1,148",104,277,274,493
"Census Tract 104, Cook County, Illinois","1,594",793,0,56,178,559,801,14,0,122,665
"Census Tract 105.01, Cook County, Illinois","1,840",961,49,40,290,582,879,16,107,277,479
"Census Tract 105.02, Cook County, Illinois","1,071",593,61,41,117,374,478,0,35,117,326
"Census Tract 105.03, Cook County, Illinois",647,300,21,38,22,219,347,24,63,70,190
"Census Tract 106, Cook County, Illinois","2,217","1,205",4,108,312,781,"1,012",31,16,95,870
"Census Tract 107.01, Cook County, Illinois","1,163",548,19,56,108,365,615,32,59,95,429
"Census Tract 107.02, Cook County, Illinois",974,581,26,111,75,369,393,14,37,35,307
"Census Tract 201, Cook County, Illinois","1,099",440,31,117,78,214,659,47,105,199,308
"Census Tract 202, Cook County, Illinois","2,767","1,243",198,140,317,588,"1,524",114,246,377,787
"Census Tract 203.01, Cook County, Illinois","2,626","1,201",78,228,215,680,"1,425",89,245,332,759
"Census Tract 203.02, Cook County, Illinois","2,083",794,101,92,121,480,"1,289",134,271,194,690
"Census Tract 204, Cook County, Illinois","1,413",659,37,128,140,354,754,14,93,173,474
"Census Tract 205, Cook County, Illinois","1,307",676,70,134,146,326,631,110,148,111,262
"Census Tract 206.01, Cook County, Illinois","2,346","1,141",158,271,136,576,"1,205",198,158,440,409
"Census Tract 206.02, Cook County, Illinois","1,036",511,19,72,152,268,525,33,184,66,242
"Census Tract 207.01, Cook County, Illinois",740,315,55,6,91,163,425,30,78,82,235
"Census Tract 207.02, Cook County, Illinois","2,600","1,215",143,375,309,388,"1,385",489,390,124,382
"Census Tract 208.01, Cook County, Illinois","1,593",862,46,71,199,546,731,22,127,151,431
"Census Tract 208.02, Cook County, Illinois","1,363",676,35,47,214,380,687,103,128,144,312
"Census Tract 209.01, Cook County, Illinois",946,511,61,138,105,207,435,39,169,42,185
"Census Tract 209.02, Cook County, Illinois","1,708",859,50,326,179,304,849,54,437,83,275
"Census Tract 301.01, Cook County, Illinois","1,655",668,3,19,147,499,987,70,65,278,574
"Census Tract 301.02, Cook County, Illinois","1,349",806,10,41,392,363,543,42,72,143,286
"Census Tract 301.03, Cook County, Illinois",755,470,35,121,119,195,285,112,13,23,137
"Census Tract 301.04, Cook County, Illinois",665,374,23,69,93,189,291,28,81,27,155
"Census Tract 302, Cook County, Illinois","2,945","1,548",41,134,240,"1,133","1,397",23,61,254,"1,059"
"Census Tract 303, Cook County, Illinois",999,505,44,79,121,261,494,46,15,118,315
"Census Tract 304, Cook County, Illinois",988,545,13,57,128,347,443,34,17,96,296
"Census Tract 305, Cook County, Illinois","2,991","1,537",76,109,266,"1,086","1,454",18,84,141,"1,211"
"Census Tract 306.01, Cook County, Illinois","1,603",802,8,157,254,383,801,77,70,176,478
"Census Tract 306.03, Cook County, Illinois",705,344,36,41,108,159,361,13,39,105,204
"Census Tract 306.04, Cook County, Illinois","1,325",581,36,95,83,367,744,79,115,167,383
"Census Tract 307.01, Cook County, Illinois",793,462,31,35,160,236,331,4,17,46,264
"Census Tract 307.02, Cook County, Illinois","1,008",503,0,44,149,310,505,6,131,135,233
"Census Tract 307.03, Cook County, Illinois","1,439",599,23,37,107,432,840,55,45,208,532
"Census Tract 307.06, Cook County, Illinois","1,757",825,26,58,203,538,932,71,205,205,451
"Census Tract 308, Cook County, Illinois","2,398","1,271",10,111,203,947,"1,127",23,65,105,934
"Census Tract 309, Cook County, Illinois","1,516",598,0,32,140,426,918,18,71,176,653
"Census Tract 310, Cook County, Illinois","1,985","1,057",0,17,182,858,928,0,55,110,763
"Census Tract 311, Cook County, Illinois","2,457","1,086",13,127,101,845,"1,371",82,132,268,889
"Census Tract 312, Cook County, Illinois","1,730",988,54,329,139,466,742,61,173,150,358
"Census Tract 313, Cook County, Illinois","2,639","1,332",72,115,268,877,"1,307",60,243,309,695
"Census Tract 314, Cook County, Illinois","3,150","1,443",38,116,206,"1,083","1,707",48,163,207,"1,289"
"Census Tract 315.01, Cook County, Illinois","1,276",706,16,137,136,417,570,26,108,167,269
"Census Tract 315.02, Cook County, Illinois","1,045",391,4,16,120,251,654,28,42,92,492
"Census Tract 317, Cook County, Illinois","2,970","1,774",106,135,306,"1,227","1,196",35,124,141,896
"Census Tract 318, Cook County, Illinois",975,432,16,61,14,341,543,5,12,78,448
"Census Tract 319, Cook County, Illinois","1,431",683,0,114,104,465,748,20,20,97,611
"Census Tract 321, Cook County, Illinois","3,658","2,139",64,135,341,"1,599","1,519",73,122,181,"1,143"
"Census Tract 401, Cook County, Illinois","2,056","1,007",76,99,262,570,"1,049",81,144,205,619
"Census Tract 402.01, Cook County, Illinois","3,245","1,652",145,252,241,"1,014","1,593",140,297,149,"1,007"
"Census Tract 402.02, Cook County, Illinois","2,671","1,459",169,371,372,547,"1,212",274,222,247,469
"Census Tract 403, Cook County, Illinois","1,320",626,8,175,136,307,694,117,130,143,304
"Census Tract 404.01, Cook County, Illinois","1,529",596,13,19,151,413,933,52,101,103,677
"Census Tract 404.02, Cook County, Illinois","2,652","1,427",0,21,211,"1,195","1,225",0,67,91,"1,067"
"Census Tract 406, Cook County, Illinois","1,643",750,17,110,151,472,893,18,39,107,729
"Census Tract 407, Cook County, Illinois","1,805",864,5,74,192,593,941,20,41,132,748
"Census Tract 408, Cook County, Illinois","1,095",554,42,43,60,409,541,55,20,68,398
"Census Tract 409, Cook County, Illinois","1,550",795,24,50,156,565,755,19,68,113,555
"Census Tract 501, Cook County, Illinois","1,458",699,26,65,100,508,759,23,57,58,621
"Census Tract 502, Cook County, Illinois","2,744","1,276",44,152,259,821,"1,468",27,132,383,926
"Census Tract 503, Cook County, Illinois","1,337",696,24,162,118,392,641,5,72,132,432
"Census Tract 505, Cook County, Illinois","3,280","1,551",77,157,226,"1,091","1,729",45,171,239,"1,274"
"Census Tract 506, Cook County, Illinois","1,597",742,0,37,79,626,855,87,83,96,589
