census_tract,Median_household_income,Mean_household_income,Median_family_income,Mean_family_income,Per_capita_income
"Census Tract 101, Cook County, Illinois","30,798","44,918","44,826","58,908","23,701"
"Census Tract 102.01, Cook County, Illinois","40,532","61,415","43,321","68,583","22,845"
"Census Tract 102.02, Cook County, Illinois","25,250","43,047","46,713","54,897","20,062"
"Census Tract 103, Cook County, Illinois","42,606","61,496","48,351","83,002","29,009"
"Census Tract 104, Cook County, Illinois","38,531","59,091","73,491","96,641","24,398"
"Census Tract 105.01, Cook County, Illinois","26,157","40,873","67,647","69,140","24,850"
"Census Tract 105.02, Cook County, Illinois","33,340","47,846","47,321","71,905","21,175"
"Census Tract 105.03, Cook County, Illinois","21,530","43,782","24,688","63,921","23,135"
"Census Tract 106, Cook County, Illinois","42,246","58,100","60,882","78,148","28,978"
"Census Tract 107.01, Cook County, Illinois","54,765","66,448","54,005","72,327","26,402"
"Census Tract 107.02, Cook County, Illinois","36,967","52,479","44,683","59,708","19,099"
"Census Tract 201, Cook County, Illinois","51,069","64,048","58,790","71,919","25,077"
"Census Tract 202, Cook County, Illinois","88,476","87,191","91,812","97,682","27,826"
"Census Tract 203.01, Cook County, Illinois","49,332","76,656","74,167","103,620","29,747"
"Census Tract 203.02, Cook County, Illinois","57,765","126,942","76,375","179,246","48,366"
"Census Tract 204, Cook County, Illinois","62,847","73,649","78,500","83,301","30,118"
"Census Tract 205, Cook County, Illinois","38,173","41,720","44,375","50,675","15,883"
"Census Tract 206.01, Cook County, Illinois","50,000","67,132","53,960","71,985","19,480"
"Census Tract 206.02, Cook County, Illinois","44,702","54,063","47,358","59,767","19,005"
"Census Tract 207.01, Cook County, Illinois","72,368","101,717","81,688","112,199","33,880"
"Census Tract 207.02, Cook County, Illinois","47,571","54,238","54,659","57,695","16,545"
"Census Tract 208.01, Cook County, Illinois","56,027","62,989","57,545","68,565","27,486"
"Census Tract 208.02, Cook County, Illinois","53,356","63,614","54,730","68,486","17,832"
"Census Tract 209.01, Cook County, Illinois","37,409","45,485","33,580","41,431","16,948"
"Census Tract 209.02, Cook County, Illinois","38,320","46,824","50,568","57,865","18,327"
"Census Tract 301.01, Cook County, Illinois","39,443","52,465","65,268","69,218","32,037"
"Census Tract 301.02, Cook County, Illinois","40,849","56,880","70,838","76,455","35,494"
"Census Tract 301.03, Cook County, Illinois","34,444","46,550","45,972","59,523","24,598"
"Census Tract 301.04, Cook County, Illinois","38,246","41,479","38,941","45,462","18,157"
"Census Tract 302, Cook County, Illinois","58,625","90,555","93,217","120,506","41,870"
"Census Tract 303, Cook County, Illinois","36,520","50,939","39,643","62,818","23,929"
"Census Tract 304, Cook County, Illinois","41,736","64,730","44,063","71,208","30,579"
"Census Tract 305, Cook County, Illinois","63,906","87,061","85,000","95,512","40,604"
"Census Tract 306.01, Cook County, Illinois","36,413","49,861","28,542","66,478","28,361"
"Census Tract 306.03, Cook County, Illinois","29,017","40,515","30,368","60,674","22,737"
"Census Tract 306.04, Cook County, Illinois","38,300","57,431","69,167","80,317","39,676"
"Census Tract 307.01, Cook County, Illinois","34,375","47,485","66,313","58,147","26,879"
"Census Tract 307.02, Cook County, Illinois","48,578","68,215","49,776","95,000","46,880"
"Census Tract 307.03, Cook County, Illinois","41,373","60,097","55,682","72,352","38,405"
"Census Tract 307.06, Cook County, Illinois","37,857","56,457","73,197","87,978","40,012"
"Census Tract 308, Cook County, Illinois","64,736","105,286","110,380","163,574","50,569"
"Census Tract 309, Cook County, Illinois","76,759","88,097","85,870","92,851","42,047"
"Census Tract 310, Cook County, Illinois","63,333","83,344","83,385","108,305","45,058"
"Census Tract 311, Cook County, Illinois","65,204","84,488","95,987","113,137","48,381"
"Census Tract 312, Cook County, Illinois","14,643","43,695","53,795","69,195","24,941"
"Census Tract 313, Cook County, Illinois","34,453","55,514","57,517","78,056","31,575"
"Census Tract 314, Cook County, Illinois","67,100","86,632","112,829","129,867","53,568"
"Census Tract 315.01, Cook County, Illinois","26,862","48,052","26,023","50,979","24,195"
"Census Tract 315.02, Cook County, Illinois","23,598","40,552","33,070","46,250","21,948"
"Census Tract 317, Cook County, Illinois","41,537","69,201","78,214","107,767","37,236"
"Census Tract 318, Cook County, Illinois","48,672","73,727","108,125","111,602","40,454"
"Census Tract 319, Cook County, Illinois","69,333","93,162","104,861","157,803","51,539"
"Census Tract 321, Cook County, Illinois","48,625","67,744","89,674","116,701","42,211"
"Census Tract 401, Cook County, Illinois","61,806","81,016","68,958","96,609","32,950"
"Census Tract 402.01, Cook County, Illinois","57,568","81,607","77,426","100,871","36,395"
"Census Tract 402.02, Cook County, Illinois","37,178","54,117","46,122","66,496","24,159"
"Census Tract 403, Cook County, Illinois","84,750","106,021","100,982","125,810","41,620"
"Census Tract 404.01, Cook County, Illinois","66,215","85,834","78,750","105,647","37,924"
"Census Tract 404.02, Cook County, Illinois","64,153","88,279","89,261","112,134","46,943"
"Census Tract 406, Cook County, Illinois","69,479","105,755","106,705","162,260","48,785"
"Census Tract 407, Cook County, Illinois","73,556","104,705","91,538","135,831","47,913"
"Census Tract 408, Cook County, Illinois","72,625","90,838","93,542","113,201","40,705"
"Census Tract 409, Cook County, Illinois","68,472","112,450","108,036","174,257","56,435"
"Census Tract 501, Cook County, Illinois","74,875","103,349","105,806","155,167","49,280"
"Census Tract 502, Cook County, Illinois","71,514","115,900","129,500","169,177","52,325"
"Census Tract 503, Cook County, Illinois","86,023","103,063","112,007","127,619","44,326"
"Census Tract 505, Cook County, Illinois","95,741","145,238","101,458","170,778","60,258"
"Census Tract 506, Cook County, Illinois","84,063","100,317","111,012","142,702","46,146"
"Census Tract 507, Cook County, Illinois","127,222","161,337","183,889","234,352","67,550"
"Census Tract 508, Cook County, Illinois","116,750","153,024","141,818","181,599","62,391"
"Census Tract 509, Cook County, Illinois","83,500","117,044","109,238","152,811","48,595"
"Census Tract 510, Cook County, Illinois","94,479","127,169","124,375","160,263","56,297"
"Census Tract 511, Cook County, Illinois","77,316","122,222","158,156","170,159","55,708"
"Census Tract 512, Cook County, Illinois","96,484","133,471","105,795","146,571","57,496"
"Census Tract 513, Cook County, Illinois","132,500","198,427","168,021","236,078","78,953"
"Census Tract 514, Cook County, Illinois","78,790","134,949","108,011","182,426","55,581"
"Census Tract 601, Cook County, Illinois","105,952","154,857","222,875","227,357","69,404"
"Census Tract 602, Cook County, Illinois","62,857","105,361","94,444","212,227","53,872"
"Census Tract 603, Cook County, Illinois","105,563","176,799","133,295","245,816","73,206"
"Census Tract 604, Cook County, Illinois","115,163","159,777","171,417","223,987","64,782"
"Census Tract 605, Cook County, Illinois","37,500","81,040","114,688","176,103","49,109"
"Census Tract 608, Cook County, Illinois","72,258","111,274","133,378","255,099","72,405"
"Census Tract 609, Cook County, Illinois","60,176","78,170","107,875","125,779","51,858"
"Census Tract 610, Cook County, Illinois","89,766","107,615","101,538","129,779","55,100"
"Census Tract 611, Cook County, Illinois","79,559","106,133","152,750","182,171","52,260"
"Census Tract 612, Cook County, Illinois","99,211","124,506","151,771","202,821","53,769"
"Census Tract 615, Cook County, Illinois","96,364","113,722","101,406","134,070","52,599"
"Census Tract 618, Cook County, Illinois","49,448","59,895","59,375","78,776","36,882"
"Census Tract 619.01, Cook County, Illinois","49,796","80,704","82,691","102,583","52,124"
"Census Tract 619.02, Cook County, Illinois","50,732","87,830","152,083","168,318","61,925"
"Census Tract 620, Cook County, Illinois","80,745","108,571","126,563","171,602","58,394"
"Census Tract 621, Cook County, Illinois","101,275","131,095","183,125","211,192","65,476"
"Census Tract 622, Cook County, Illinois","112,564","142,321","150,288","179,619","66,763"
"Census Tract 623, Cook County, Illinois","112,768","193,083","224,044","332,317","81,013"
"Census Tract 624, Cook County, Illinois","117,368","144,332","150,114","200,097","66,425"
"Census Tract 625, Cook County, Illinois","102,250","138,684","138,250","177,996","71,198"
"Census Tract 626, Cook County, Illinois","95,491","159,333","202,702","222,595","67,540"
"Census Tract 627, Cook County, Illinois","100,625","136,064","111,429","188,585","60,278"
"Census Tract 628, Cook County, Illinois","116,310","154,702","173,036","200,959","66,753"
"Census Tract 629, Cook County, Illinois","115,526","161,900","188,839","219,756","76,326"
"Census Tract 630, Cook County, Illinois","85,426","105,103","143,750","188,663","61,154"
"Census Tract 631, Cook County, Illinois","84,896","113,534","139,393","175,194","65,666"
"Census Tract 632, Cook County, Illinois","54,187","100,134","118,558","160,673","64,073"
