Census Tract ,total,white,black
"Census Tract 101, Cook County, Illinois",4189.00,2073.00,1687.00
"Census Tract 102.01, Cook County, Illinois",7083.00,3198.00,3545.00
"Census Tract 102.02, Cook County, Illinois",2502.00,1099.00,839.00
"Census Tract 103, Cook County, Illinois",6213.00,3429.00,1806.00
"Census Tract 104, Cook County, Illinois",4730.00,3427.00,660.00
"Census Tract 105.01, Cook County, Illinois",3831.00,2330.00,1190.00
"Census Tract 105.02, Cook County, Illinois",3690.00,2123.00,595.00
"Census Tract 105.03, Cook County, Illinois",2228.00,1577.00,217.00
"Census Tract 106, Cook County, Illinois",6513.00,4087.00,1910.00
"Census Tract 107.01, Cook County, Illinois",3946.00,2565.00,655.00
"Census Tract 107.02, Cook County, Illinois",5274.00,2978.00,1077.00
"Census Tract 201, Cook County, Illinois",3990.00,1797.00,1137.00
"Census Tract 202, Cook County, Illinois",6255.00,4536.00,286.00
"Census Tract 203.01, Cook County, Illinois",5239.00,4368.00,280.00
"Census Tract 203.02, Cook County, Illinois",4651.00,3039.00,543.00
"Census Tract 204, Cook County, Illinois",4294.00,2490.00,753.00
"Census Tract 205, Cook County, Illinois",6004.00,2614.00,1255.00
"Census Tract 206.01, Cook County, Illinois",6697.00,4124.00,421.00
"Census Tract 206.02, Cook County, Illinois",4102.00,2024.00,342.00
"Census Tract 207.01, Cook County, Illinois",1893.00,1244.00,153.00
"Census Tract 207.02, Cook County, Illinois",8232.00,4725.00,248.00
"Census Tract 208.01, Cook County, Illinois",4512.00,2679.00,221.00
"Census Tract 208.02, Cook County, Illinois",7942.00,2950.00,591.00
"Census Tract 209.01, Cook County, Illinois",5013.00,2430.00,1034.00
"Census Tract 209.02, Cook County, Illinois",4195.00,2551.00,781.00
"Census Tract 301.01, Cook County, Illinois",3727.00,2294.00,746.00
"Census Tract 301.02, Cook County, Illinois",2956.00,1790.00,579.00
"Census Tract 301.03, Cook County, Illinois",2238.00,1287.00,345.00
"Census Tract 301.04, Cook County, Illinois",3688.00,1973.00,566.00
"Census Tract 302, Cook County, Illinois",5274.00,4393.00,482.00
"Census Tract 303, Cook County, Illinois",3049.00,1994.00,343.00
"Census Tract 304, Cook County, Illinois",2683.00,1916.00,339.00
"Census Tract 305, Cook County, Illinois",6269.00,4952.00,400.00
"Census Tract 306.01, Cook County, Illinois",3538.00,2358.00,747.00
"Census Tract 306.03, Cook County, Illinois",2048.00,848.00,831.00
"Census Tract 306.04, Cook County, Illinois",2961.00,1578.00,664.00
"Census Tract 307.01, Cook County, Illinois",1734.00,890.00,366.00
"Census Tract 307.02, Cook County, Illinois",1460.00,1137.00,101.00
"Census Tract 307.03, Cook County, Illinois",2579.00,1756.00,361.00
"Census Tract 307.06, Cook County, Illinois",3460.00,2085.00,522.00
"Census Tract 308, Cook County, Illinois",4405.00,3249.00,145.00
"Census Tract 309, Cook County, Illinois",3207.00,2129.00,278.00
"Census Tract 310, Cook County, Illinois",3522.00,2646.00,148.00
"Census Tract 311, Cook County, Illinois",4136.00,3162.00,241.00
"Census Tract 312, Cook County, Illinois",4860.00,2610.00,1601.00
"Census Tract 313, Cook County, Illinois",7543.00,3703.00,1874.00
"Census Tract 314, Cook County, Illinois",5260.00,3933.00,612.00
"Census Tract 315.01, Cook County, Illinois",3430.00,1449.00,1032.00
"Census Tract 315.02, Cook County, Illinois",4386.00,1749.00,1978.00
"Census Tract 317, Cook County, Illinois",6525.00,3949.00,1510.00
"Census Tract 318, Cook County, Illinois",1717.00,1482.00,21.00
"Census Tract 319, Cook County, Illinois",2355.00,1888.00,182.00
"Census Tract 321, Cook County, Illinois",6767.00,5172.00,778.00
"Census Tract 401, Cook County, Illinois",3998.00,3188.00,233.00
"Census Tract 402.01, Cook County, Illinois",6195.00,4963.00,39.00
"Census Tract 402.02, Cook County, Illinois",6691.00,3903.00,507.00
"Census Tract 403, Cook County, Illinois",2656.00,1807.00,73.00
"Census Tract 404.01, Cook County, Illinois",2836.00,2022.00,166.00
"Census Tract 404.02, Cook County, Illinois",4701.00,3715.00,153.00
"Census Tract 406, Cook County, Illinois",2684.00,2394.00,61.00
"Census Tract 407, Cook County, Illinois",3353.00,2865.00,117.00
"Census Tract 408, Cook County, Illinois",1815.00,1433.00,60.00
"Census Tract 409, Cook County, Illinois",2118.00,1961.00,2.00
"Census Tract 501, Cook County, Illinois",2406.00,2177.00,43.00
"Census Tract 502, Cook County, Illinois",5120.00,4601.00,160.00
"Census Tract 503, Cook County, Illinois",2566.00,2226.00,18.00
"Census Tract 505, Cook County, Illinois",5365.00,4785.00,48.00
"Census Tract 506, Cook County, Illinois",2414.00,2186.00,45.00
"Census Tract 507, Cook County, Illinois",1753.00,1661.00,15.00
"Census Tract 508, Cook County, Illinois",1427.00,1363.00,12.00
"Census Tract 509, Cook County, Illinois",1660.00,1493.00,0.00
"Census Tract 510, Cook County, Illinois",1610.00,1350.00,29.00
"Census Tract 511, Cook County, Illinois",1526.00,1346.00,29.00
"Census Tract 512, Cook County, Illinois",1562.00,1352.00,115.00
"Census Tract 513, Cook County, Illinois",2953.00,2697.00,52.00
"Census Tract 514, Cook County, Illinois",2174.00,1832.00,74.00
"Census Tract 601, Cook County, Illinois",2596.00,2293.00,206.00
"Census Tract 602, Cook County, Illinois",2126.00,1882.00,59.00
"Census Tract 603, Cook County, Illinois",3176.00,3007.00,9.00
"Census Tract 604, Cook County, Illinois",4003.00,3739.00,16.00
"Census Tract 605, Cook County, Illinois",1235.00,977.00,74.00
"Census Tract 608, Cook County, Illinois",4840.00,3847.00,281.00
"Census Tract 609, Cook County, Illinois",6758.00,5518.00,330.00
"Census Tract 610, Cook County, Illinois",1716.00,1428.00,25.00
"Census Tract 611, Cook County, Illinois",1309.00,1205.00,27.00
