,level_0,index, community_id,Median_household_income,Mean_household_income,Median_family_income,Mean_family_income,Per_capita_income,18_25_no_high_diploma,25_over_less_than_9th_grade,25_over_9_12_grade_wno_diploma,25_plus_poverty_rate,male_less_than_hs_diploma,male_hs,male_college,male_b_or_more,female_less_than_hs_diploma,female_hs,female_college,female_b_or_more,MALE_LESS_THAN_HS_DIPLOMA,MALE_HS,MALE_COLLEGE,MALE_B_OR_MORE,FEMALE_LESS_THAN_HS_DIPLOMA,FEMALE_HS,FEMALE_COLLEGE,FEMALE_B_OR_MORE,Crime Rate,Total_Population,White_Prop,Black_Prop,SES
0,0,53,54.0,14468.5,21917.5,17677.0,23938.5,2097.079276773296,0.20420091324200912,0.06462448066474913,0.19999999999999998,0.6946244806647491,0.0,22.0,0.0,0.0,0.0,0.0,30.0,0.0,127.0190023752969,190.86935866983373,102.3372921615202,6.712589073634204,270.83116883116884,325.91094619666046,423.7773654916512,57.71799628942486,0.1913769123783032,7190.0,0.020305980528511822,0.9642559109874826,98
1,1,36,37.0,16798.0,35297.5,31250.0,53797.5,12909.16240660637,0.11911111111111111,0.06869791666666666,0.1769560185185185,0.5234780092592592,1.0,0.0,0.0,11.0,0.5142857142857142,0.0,17.0,0.0,133.07967032967034,125.60302197802197,101.73763736263736,58.1978021978022,91.38023255813954,147.9906976744186,141.79767441860466,60.5546511627907,0.3649233189146677,2543.0,0.039323633503735744,0.9001179709005112,97
2,3,67,68.0,19566.0,30156.0,24521.36,33122.45,4461.369381250686,0.3157225769007545,0.0531714463840399,0.23191271820448878,0.5470411471321697,15.429906542056075,2.6542056074766354,6.093457943925234,5.271028037383178,2.8372093023255816,4.069767441860465,3.255813953488372,0.9302325581395349,178.43329623151536,265.87915407854985,174.5889648592781,28.57719828271585,261.0252818211667,260.65448177738864,334.9319251395425,58.15475539017183,0.2590760889475034,27297.0,0.014690259002820822,0.9571381470491263,94
3,5,25,26.0,25762.4,34575.6,27474.3,36368.2,5916.176859941753,0.22878193430656935,0.06097247530449794,0.21110961925769633,0.5556612640260862,0.5257731958762887,13.34020618556701,2.8556701030927836,2.381443298969072,1.5611510791366907,20.46043165467626,5.482014388489208,1.9136690647482015,142.22269000664747,222.2701085752271,117.32107245734545,13.803013516507866,163.46304147465437,202.11686635944702,204.36405529953916,33.26543778801843,0.3270320360074133,18885.0,0.019962933545141646,0.9589621392639661,92
4,7,66,67.0,27361.05,36490.47,30389.89,39921.42,6579.044117647059,0.3544787152689268,0.0609204227688516,0.19444618228352054,0.4053794018673871,2.0425531914893615,6.138297872340425,8.22340425531915,1.3829787234042554,0.39325842696629215,8.47191011235955,3.056179775280899,3.146067415730337,159.9324817518248,274.91514598540147,123.24771897810218,31.098768248175183,161.80692587016208,232.91320520768753,233.39819325126206,66.6847046320078,0.22105508870214752,34272.0,0.01511437908496732,0.9409430438842203,89
5,8,39,40.0,25719.0,37815.0,29344.5,38758.67,7509.143985575685,0.3603217612193057,0.04697163469421217,0.1682784062961141,0.5241810132808657,0.0,2.0833333333333335,4.083333333333333,0.0,0.0,0.0,0.0,6.0,96.0332541567696,122.13396674584322,101.72019002375296,56.900712589073635,136.95490298898793,172.72260094389094,248.68772941793392,109.92212899842684,0.2504507598523225,11647.0,0.008242465871039753,0.9631664806387911,88
6,9,28,29.0,24703.8,36602.0,26571.87,37930.07,5011.4532745698,0.3001443816698054,0.08074139269997412,0.1901211493657779,0.49260005177323324,1.7612612612612613,6.094594594594595,10.977477477477477,6.364864864864865,4.949832775919733,11.327759197324415,9.270903010033445,23.28428093645485,146.85281121438368,203.16090202651228,178.73807709888771,43.29254913911321,246.55914283017086,293.53743037855185,324.5556499575191,84.95327102803738,0.24209078404401652,35623.0,0.05325211239929259,0.9088229514639419,87
7,12,26,27.0,24522.58,36410.17,29622.58,39820.17,7716.442208080509,0.2652978808476609,0.05293218312265118,0.15869234711308508,0.5574461906388793,7.902631578947369,4.057894736842106,16.49736842105263,48.689473684210526,5.773049645390071,20.914893617021278,10.939716312056738,22.03191489361702,101.24249833296288,159.91553678595244,122.61991553678595,26.431651478106247,109.691169133544,178.2466322966905,184.9231664726426,69.13520705138866,0.28419910216565536,20271.0,0.054314044694391,0.9174683044743722,83
8,15,46,47.0,25417.0,39965.0,38239.0,50126.0,5693.27731092437,0.22,0.04,0.18,0.31000000000000005,inf,inf,inf,inf,inf,inf,inf,inf,176.0,317.0,246.0,66.0,211.0,249.0,408.0,99.0,0.153170359052712,2618.0,0.0,1.0,79
9,16,35,36.0,24590.67,40825.67,32617.0,53481.33,8373.860651938823,0.22113207547169814,0.06875296598998154,0.119267070920116,0.7641365673609279,0.0,0.0,0.0,60.0,0.0,0.0,0.0,29.210526315789473,152.03451407811082,69.20708446866485,155.36058128973661,169.04813805631244,145.34335117332236,162.19349526554137,326.1910251132153,244.72128447920954,0.09809979916576549,6473.0,0.03429630773984242,0.9371234358102889,78
10,18,45,46.0,28286.9,39545.9,35177.2,45036.3,5210.542907180386,0.22524146416487234,0.10806946503935212,0.14747062849321319,0.3313128778373446,29.52617079889807,17.674931129476583,2.3057851239669422,4.556473829201102,12.655913978494624,17.1747311827957,16.397849462365592,2.7876344086021505,162.35871042920957,220.50029131870266,276.6387648087007,97.44202757817052,169.96686360133572,246.13549961469303,521.1385820703828,268.53377857693295,0.1827320490367776,28550.0,0.1906830122591944,0.7422066549912434,75
